SUB SHACK,Sandwiches,70,73,68,70,76,75,76,73,71
FOOD LION,Grocery,60,73,68,70,76,75,76,73,71
TOP OF THE STAIRS,Bars,50,73,68,69,76,74,76,73,71
CINCO DE MAYO RESTURANT,Mexican,60,73,68,69,76,74,76,73,71
O-PASS TEA & CREPE,Coffee,80,73,69,69,76,74,76,73,71
CABO FISH TACO,Mexican,70,74,69,69,76,75,76,73,71
CUSTOM MEATS,Meat Shops,100,74,69,69,76,75,76,73,71
GUMBY'S PIZZA,Pizza,70,74,68,70,74,73,74,72,71
EL MARIACHI,Mexican,80,74,69,70,74,73,74,72,71
THE CHOCOLATE SPIKE,Desserts,70,74,69,70,74,73,74,72,71
HUNAN KING CHINESE RESTAURANT,Chinese,60,74,69,70,74,73,74,72,71
MACADO'S,Sandwiches,60,73,68,69,72,71,72,71,70
VINCENTS RISTORANTE,Italian,50,73,68,69,72,71,72,71,70
CHU-CHO'S MEXICAN,Mexican,40,73,68,68,72,71,72,71,70
OGE-CHI RESTUARANT AND LOUNGE,Bars,50,73,68,68,72,71,72,71,70
SUSHI FACTORY,Japanese,80,73,68,68,72,71,72,71,70
BLACKSTONE GRILL,Bars,70,73,68,68,72,71,72,71,70
BOSTON BEANERY,Coffee,60,73,68,68,71,71,72,71,70
VINTAGE CELLAR,Bars,90,74,70,69,72,71,72,71,71
EASY CHAIR COFFEE SHOP,Coffee,80,74,70,69,72,71,72,71,71
TATAKI,Japanese,90,74,70,69,72,71,72,71,71
IHOP,American,30,74,70,69,71,71,72,71,70
MCDONALD'S,American,60,74,70,69,71,71,72,71,70
SYCAMORE DELI,Sandwiches,80,74,70,69,72,71,72,71,71
BULL AND BONES BREWHAUS AND GRILL,American,70,74,70,69,72,71,73,71,71
BIG AL'S GRILLE & SPORTS BAR,Bars,90,74,70,69,72,72,73,71,71
YOGI FACTORY,Desserts,100,74,70,69,72,72,73,71,71
LOG CABIN BBQ,American,60,74,70,69,72,72,73,72,71
HARDEE'S,American,70,74,70,69,72,72,73,72,71
MOE'S SOUTHWEST GRILL,Mexican,50,74,70,69,72,72,73,71,71
